slug,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
alameda,1513413,1532981,1557493,1584943,1614744,1643103,1661218,1671949,1680392,1683879,1680614,1643856,1635693,1638142,1649060
alpine,1164,1105,1132,1160,1122,1128,1110,1183,1157,1198,1179,1203,1169,1126,1099
amador,37893,37593,37201,36763,36916,37263,37711,38859,39702,40089,40584,41245,41486,41798,42026
butte,219883,219639,220257,220755,222355,223198,224502,226704,228059,216181,210222,206351,207384,207354,208334
calaveras,45442,45033,44588,44328,44246,44440,44674,44923,44911,45181,45350,46262,46544,46580,46505
colusa,21442,21350,21338,21331,21276,21356,21653,21762,21622,21735,21868,21931,21952,22093,22074
contra-costa,1052827,1066922,1080252,1097315,1113976,1130708,1145072,1154685,1161151,1164443,1166165,1163813,1160296,1162179,1172607
del-norte,28562,28418,28144,27747,27085,27078,27272,27217,27604,27691,27616,27581,26758,26571,27009
el-dorado,181113,180727,180188,180915,182354,183635,184846,187423,189366,191309,191250,193724,193071,192440,192823
fresno,932202,940206,946501,953630,963323,972906,981015,990274,997611,1004925,1009613,1012879,1017107,1019899,1024125
glenn,28139,28203,27966,27971,28047,28025,28156,28294,28374,28977,28889,28714,28371,28190,28304
humboldt,135039,135405,134864,134832,135060,135800,137219,137570,137481,136936,136324,134978,135013,134009,132380
imperial,174685,175635,176314,176052,177459,178297,179400,180693,180428,179727,179730,179206,179767,180585,181724
inyo,18527,18505,18560,18659,18688,18601,18497,18515,18685,18881,18999,18920,18745,18548,18485
kern,841561,849631,856159,865279,873174,880669,886002,893009,900095,906160,906124,912782,917293,916646,922529
kings,152335,151740,150814,150135,149239,149795,149073,149314,150962,152437,152797,152724,152776,153281,154913
lake,64827,64713,64785,64994,65602,66176,66187,66770,67396,67829,68200,68623,68239,67934,67764
lassen,34891,34552,34193,32953,32744,32589,32302,32760,32753,33043,32319,31884,30401,28838,28340
los-angeles,9822769,9879322,9941529,10001824,10052585,10100900,10123015,10125014,10098683,10053252,9996634,9809239,9748447,9731837,9757179
madera,150972,151517,151216,150857,152783,152739,152851,154100,155260,155469,156434,159019,160414,163402,165432
marin,253015,255926,257071,259862,262261,263269,263455,263145,263698,263129,261341,259254,257143,255706,256400
mariposa,18301,18193,17901,17825,17725,17628,17468,17426,17322,17073,17133,17136,17095,16996,17048
mendocino,87926,87989,88471,88772,89473,89880,90592,91487,91870,91775,91362,91303,90027,89354,89175
merced,256765,259532,261286,262625,265204,267322,268786,272480,275602,279209,282963,284834,292034,294402,296774
modoc,9696,9501,9336,9123,9037,9015,8898,8795,8738,8778,8677,8640,8625,8566,8491
mono,14223,14260,14033,13638,13573,13386,13436,13382,13318,13237,13225,13263,13055,13207,12991
monterey,416536,421275,425838,428497,431037,433948,437926,439011,439285,440023,440506,439245,436427,435637,436251
napa,136790,137859,138847,140017,140979,141566,141730,140922,139877,139087,137465,136219,134492,133444,132727
nevada,98858,99036,98741,98801,99692,100060,100539,101277,101583,102016,102267,103499,102356,102086,102195
orange,3016780,3052224,3082360,3110533,3133414,3157464,3174414,3185916,3188957,3185850,3186261,3159351,3158489,3154563,3170435
placer,350070,356636,360834,366232,370308,374188,380615,387169,394807,401241,405951,412968,418439,424599,433822
plumas,19935,19820,19560,19161,18972,18856,19191,19260,19491,19793,19761,19965,19433,19120,18834
riverside,2199892,2225473,2245681,2264308,2286762,2309475,2336394,2364473,2387939,2403591,2424663,2455225,2479628,2503549,2529933
sacramento,1422042,1437021,1450783,1465896,1486089,1507458,1527967,1547198,1561413,1576171,1586727,1588824,1588743,1594506,1611231
san-benito,55554,56144,56794,57450,58061,58486,59520,60480,61745,63173,64533,66703,67715,68341,69159
san-bernardino,2040648,2059818,2071687,2080078,2095700,2111085,2126834,2145333,2160491,2171521,2183526,2190877,2196029,2200805,2214281
san-diego,3102369,3132770,3167098,3199163,3234108,3262051,3283104,3293086,3302976,3297378,3301182,3274244,3283755,3285890,3298799
san-francisco,805604,816119,829730,840802,852366,865025,873473,879941,882486,881976,874826,815498,814176,819151,827526
san-joaquin,687419,695787,702187,705793,716476,728317,740281,752124,762646,772845,780676,788096,795880,805909,816108
san-luis-obispo,269796,271038,274141,275666,278210,280062,281794,282368,283130,282594,281924,279468,282535,282007,281843
san-mateo,720041,729410,740539,750343,759237,767435,770258,771360,771485,768257,762727,739330,732485,734267,742893
santa-barbara,424291,425771,430298,435461,440173,443597,445953,447134,447567,448189,448083,437117,445286,443521,444500
santa-clara,1786576,1814769,1842795,1873543,1901084,1927838,1942556,1948968,1951006,1943736,1924802,1878320,1883653,1897137,1926325
santa-cruz,263175,264932,266401,268851,270882,273518,274504,274897,273749,272910,271768,260904,265851,263699,262406
shasta,177349,177972,178556,179383,180128,179896,180391,181490,182041,182308,182190,182243,180972,180656,181121
sierra,3228,3138,3136,3128,3104,3148,3144,3227,3209,3237,3229,3298,3215,3180,3113
siskiyou,44958,44709,44248,43776,43652,43640,43837,44152,44198,44307,43999,44144,43746,42941,42498
solano,414115,417085,421014,425611,431556,436571,442637,447964,450949,453060,452887,450819,449724,451060,455101
sonoma,484628,486997,489361,493259,497518,499611,501269,500840,495669,490579,488501,484561,483398,483366,485375
stanislaus,515199,517825,520895,524121,528870,534258,540539,546295,549905,552059,553710,552939,552410,553921,556972
sutter,94818,94845,94835,95443,96010,96815,97664,98360,98849,99714,99479,99121,98682,98457,98545
tehama,63590,63478,63467,63244,63276,63742,64173,64645,64835,66230,65690,65467,65269,64959,64451
trinity,13851,14167,14363,14681,14766,15120,15240,15526,15783,15908,16095,16102,15777,15684,15642
tulare,443074,447313,450715,453832,456915,459335,462017,465582,468272,470229,473944,476939,478288,480747,483546
tuolumne,55192,54948,54454,54339,54306,54188,54430,54767,55175,55327,55397,55126,53951,54123,53893
ventura,825173,830053,833548,838106,842606,846209,847646,849106,848179,845277,843808,840009,835032,833071,835427
yolo,200971,201480,203745,205093,206833,210102,213311,215851,217102,216678,217768,213545,223338,222919,225251
yuba,72389,72702,73169,73658,74280,74969,76028,77860,78881,80188,82001,83035,84335,85695,87469
